date,ticker,open,high,low,close,volume
07/03/2025,MSFT,392.32,394.8,385.54,393.31,22.03M
10/03/2025,MSFT,385.84,386.4,377.22,380.16,32.84M
11/03/2025,MSFT,379,386,376.91,380.45,30.38M
12/03/2025,MSFT,382.95,385.22,378.95,383.27,24.25M
13/03/2025,MSFT,383.15,385.32,377.45,378.77,20.47M
14/03/2025,MSFT,379.77,390.23,379.51,388.56,19.95M
17/03/2025,MSFT,386.7,392.7,385.57,388.7,22.47M
18/03/2025,MSFT,387.07,387.37,381.1,383.52,19.49M
19/03/2025,MSFT,385.52,389.68,384,387.82,19.19M
20/03/2025,MSFT,385.73,391.79,383.28,386.84,18.47M
21/03/2025,MSFT,383.21,391.74,382.8,391.26,39.68M
24/03/2025,MSFT,395.4,395.4,389.81,393.08,21.00M
25/03/2025,MSFT,393.92,396.36,392.64,395.16,15.77M
26/03/2025,MSFT,395,395.31,388.57,389.97,16.13M
27/03/2025,MSFT,390.13,392.24,387.39,390.58,13.77M
28/03/2025,MSFT,388.08,389.13,376.93,378.8,21.63M
31/03/2025,MSFT,372.54,377.07,367.24,375.39,35.18M
01/04/2025,MSFT,374.65,382.85,373.23,382.19,19.69M
02/04/2025,MSFT,377.96,385.08,376.62,382.14,16.09M
03/04/2025,MSFT,374.79,377.48,369.35,373.11,30.20M
04/04/2025,MSFT,364.13,374.59,359.48,359.84,49.21M
07/04/2025,MSFT,350.88,371,344.79,357.86,50.43M
08/04/2025,MSFT,368.26,373.65,350.25,354.56,35.87M
09/04/2025,MSFT,353.54,393.23,353.1,390.49,50.20M
10/04/2025,MSFT,382.06,383.9,367.8,381.35,38.02M
11/04/2025,MSFT,380.64,390.05,378.89,388.45,23.84M
14/04/2025,MSFT,393.22,394.65,384.21,387.81,19.25M
15/04/2025,MSFT,388.51,391.89,384.16,385.73,17.20M
16/04/2025,MSFT,380.67,381.61,368,371.61,21.97M
17/04/2025,MSFT,373.74,374.32,366.89,367.78,21.12M
21/04/2025,MSFT,362.82,364.48,355.67,359.12,20.81M
22/04/2025,MSFT,363.38,367.77,359.86,366.82,19.48M
23/04/2025,MSFT,376.06,380.39,373.02,374.39,20.55M
24/04/2025,MSFT,375.7,388.45,375.19,387.3,22.23M
25/04/2025,MSFT,387,392.16,384.6,391.85,18.97M
28/04/2025,MSFT,391.95,392.74,386.64,391.16,16.58M
29/04/2025,MSFT,391.3,395.1,390.38,394.04,14.97M
30/04/2025,MSFT,390.3,396.66,384.44,395.26,36.46M
01/05/2025,MSFT,431.11,436.99,424.9,425.4,58.94M
02/05/2025,MSFT,431.74,439.44,429.98,435.28,30.76M
05/05/2025,MSFT,432.87,439.5,432.11,436.17,20.14M
06/05/2025,MSFT,432.2,437.73,431.17,433.31,15.10M
07/05/2025,MSFT,433.84,438.12,431.11,433.35,23.31M
08/05/2025,MSFT,437.93,443.67,435.66,438.17,23.49M
09/05/2025,MSFT,440,440.74,435.88,438.73,15.32M
12/05/2025,MSFT,445.94,449.37,439.78,449.26,22.82M
13/05/2025,MSFT,447.78,450.67,445.36,449.14,23.62M
14/05/2025,MSFT,448.14,453.9,448.14,452.94,19.90M
15/05/2025,MSFT,450.77,456.19,450.43,453.13,21.99M
16/05/2025,MSFT,452.05,454.36,448.73,454.27,23.85M
19/05/2025,MSFT,450.88,459.58,450.8,458.87,21.34M
20/05/2025,MSFT,455.59,458.34,454.32,458.17,15.44M
21/05/2025,MSFT,454.57,457.78,451.81,452.57,19.22M
22/05/2025,MSFT,454.95,460.25,453.9,454.86,18.03M
23/05/2025,MSFT,449.98,453.69,448.91,450.18,16.88M
27/05/2025,MSFT,456.48,460.95,456.11,460.69,20.97M
28/05/2025,MSFT,461.22,462.52,456.93,457.36,17.09M
29/05/2025,MSFT,461.55,461.72,455.31,458.68,13.98M
30/05/2025,MSFT,459.71,461.68,455.54,460.36,34.77M
02/06/2025,MSFT,457.14,462.11,456.89,461.97,16.63M
03/06/2025,MSFT,461.47,464.14,460.86,462.97,15.74M
04/06/2025,MSFT,464,465.69,463.02,463.87,14.16M
05/06/2025,MSFT,464.95,469.65,464.03,467.68,20.15M
06/06/2025,MSFT,470.08,473.33,468.78,470.38,15.29M
09/06/2025,MSFT,469.7,473.43,468.62,472.75,16.47M
10/06/2025,MSFT,471.18,472.8,466.96,470.92,15.38M
11/06/2025,MSFT,470.02,475.47,469.65,472.62,16.40M
12/06/2025,MSFT,475.02,480.42,473.52,478.87,18.95M
13/06/2025,MSFT,476.41,479.18,472.76,474.96,16.81M
16/06/2025,MSFT,475.21,480.69,475,479.14,15.63M
17/06/2025,MSFT,475.39,478.74,474.08,478.04,15.41M
18/06/2025,MSFT,478,481,474.46,480.24,17.53M
20/06/2025,MSFT,482.23,483.46,476.87,477.4,37.58M
23/06/2025,MSFT,478.21,487.75,472.51,486,24.86M
24/06/2025,MSFT,488.95,491.85,486.8,490.11,22.31M
25/06/2025,MSFT,492.04,494.56,489.39,492.27,17.50M
26/06/2025,MSFT,492.98,498.04,492.81,497.45,21.58M
27/06/2025,MSFT,497.55,499.3,493.03,495.94,34.54M
30/06/2025,MSFT,497.04,500.76,495.33,497.41,28.37M
01/07/2025,MSFT,496.47,498.05,490.98,492.05,19.95M
02/07/2025,MSFT,489.99,493.5,488.7,491.09,16.32M
03/07/2025,MSFT,493.81,500.13,493.44,498.84,13.98M
07/07/2025,MSFT,497.38,498.75,495.23,497.72,13.98M
08/07/2025,MSFT,497.24,498.2,494.11,496.62,11.85M
09/07/2025,MSFT,500.3,506.78,499.74,503.51,18.66M
10/07/2025,MSFT,503.05,504.44,497.75,501.48,16.50M
11/07/2025,MSFT,498.47,505.03,497.8,503.32,16.46M
14/07/2025,MSFT,501.52,503.97,501.03,503.02,12.06M
15/07/2025,MSFT,503.02,508.3,502.79,505.82,14.93M
16/07/2025,MSFT,505.18,506.72,501.89,505.62,15.15M
17/07/2025,MSFT,505.68,513.37,505.62,511.7,17.50M
18/07/2025,MSFT,514.48,514.64,507.43,510.05,21.21M
21/07/2025,MSFT,506.7,512.09,505.55,510.06,14.07M
22/07/2025,MSFT,510.97,511.2,505.27,505.27,13.87M
23/07/2025,MSFT,506.75,506.79,500.7,505.87,16.40M
24/07/2025,MSFT,508.77,513.67,507.3,510.88,16.11M
25/07/2025,MSFT,512.47,518.29,510.36,513.71,19.13M
28/07/2025,MSFT,514.08,515,510.12,512.5,14.31M
29/07/2025,MSFT,515.53,517.62,511.56,512.57,16.47M
30/07/2025,MSFT,515.17,515.95,509.43,513.24,26.38M
31/07/2025,MSFT,555.22,555.45,531.9,533.5,51.62M
01/08/2025,MSFT,535,535.8,520.86,524.11,28.98M
04/08/2025,MSFT,528.27,538.25,528.13,535.64,25.35M
05/08/2025,MSFT,537.18,537.3,527.24,527.75,19.17M
06/08/2025,MSFT,530.9,531.7,524.03,524.94,21.36M
07/08/2025,MSFT,526.8,528.09,517.55,520.84,16.08M
08/08/2025,MSFT,522.6,524.66,519.41,522.04,15.53M
11/08/2025,MSFT,522.3,527.59,519.72,521.77,20.19M
12/08/2025,MSFT,523.75,530.98,522.7,529.24,18.69M
13/08/2025,MSFT,532.11,532.7,519.37,520.58,19.62M
14/08/2025,MSFT,522.56,525.95,520.14,522.48,20.27M
15/08/2025,MSFT,522.77,526.1,519.08,520.17,25.21M
18/08/2025,MSFT,521.59,522.82,514.02,517.1,23.76M
19/08/2025,MSFT,515,515.16,508.55,509.77,21.48M
20/08/2025,MSFT,509.86,511,504.44,505.72,27.72M
21/08/2025,MSFT,503.69,507.63,502.72,504.24,18.44M
22/08/2025,MSFT,504.25,510.73,502.41,507.23,24.32M
25/08/2025,MSFT,506.63,508.19,504.12,504.26,21.64M
26/08/2025,MSFT,504.36,504.98,498.51,502.04,30.84M
27/08/2025,MSFT,502,507.29,499.9,506.74,17.28M
28/08/2025,MSFT,507.09,511.09,505.5,509.64,18.02M
29/08/2025,MSFT,508.66,509.6,504.49,506.69,20.96M
02/09/2025,MSFT,500.46,506,496.81,505.12,18.13M
03/09/2025,MSFT,503.79,507.79,502.32,505.35,16.35M
04/09/2025,MSFT,504.3,508.15,503.15,507.97,15.51M
05/09/2025,MSFT,509.07,511.97,492.37,495,31.99M
08/09/2025,MSFT,498.11,501.2,495.03,498.2,16.77M
09/09/2025,MSFT,501.43,502.25,497.7,498.41,14.41M
10/09/2025,MSFT,502.98,503.23,496.72,500.37,21.61M
11/09/2025,MSFT,502.25,503.17,497.88,501.01,18.88M
12/09/2025,MSFT,506.65,512.55,503.85,509.9,23.62M
