date,ticker,open,high,low,close,volume
01/07/2025,TSLA,298.46,305.89,293.21,300.71,145.09M
02/07/2025,TSLA,312.63,316.83,303.82,315.65,119.48M
03/07/2025,TSLA,317.99,318.45,312.76,315.35,58.04M
07/07/2025,TSLA,291.37,296.15,288.77,293.94,131.18M
08/07/2025,TSLA,297,304.05,294.35,297.81,103.25M
09/07/2025,TSLA,297.55,300.15,293.55,295.88,75.59M
10/07/2025,TSLA,300.05,310.48,300,309.87,104.37M
11/07/2025,TSLA,307.89,314.09,305.65,313.51,79.24M
14/07/2025,TSLA,317.73,322.6,312.67,316.9,78.04M
15/07/2025,TSLA,319.67,321.2,310.5,310.78,77.56M
16/07/2025,TSLA,312.8,323.5,312.62,321.67,97.28M
17/07/2025,TSLA,323.15,324.34,317.06,319.41,73.92M
18/07/2025,TSLA,321.66,330.9,321.42,329.65,94.25M
21/07/2025,TSLA,334.4,338,326.88,328.49,75.77M
22/07/2025,TSLA,329.74,335.41,321.55,332.11,77.37M
23/07/2025,TSLA,330.9,336.2,328.67,332.56,92.55M
24/07/2025,TSLA,310,310.15,300.41,305.3,156.97M
25/07/2025,TSLA,308.74,323.63,308.01,316.06,148.23M
28/07/2025,TSLA,318.45,330.49,315.69,325.59,112.67M
29/07/2025,TSLA,325.55,326.25,318.25,321.2,87.36M
30/07/2025,TSLA,322.18,324.45,311.62,319.04,83.93M
31/07/2025,TSLA,319.61,321.37,306.1,308.27,85.27M
01/08/2025,TSLA,306.2,309.31,297.82,302.63,89.12M
04/08/2025,TSLA,309.08,312.12,303,309.26,78.68M
05/08/2025,TSLA,308.95,312.45,305.5,308.72,57.96M
06/08/2025,TSLA,307.89,320.47,306.93,319.91,78.52M
07/08/2025,TSLA,319.79,322.4,316.16,322.27,66.66M
08/08/2025,TSLA,321.43,335.15,320.98,329.65,91.20M
11/08/2025,TSLA,335,346.64,334.15,339.03,105.32M
12/08/2025,TSLA,345,345.26,332.94,340.84,80.69M
13/08/2025,TSLA,341.5,348.98,338.2,339.38,67.84M
14/08/2025,TSLA,335.76,340.47,330.4,335.58,75.00M
15/08/2025,TSLA,337.65,339.3,327.02,330.56,74.32M
18/08/2025,TSLA,329.62,336.27,329.59,335.16,56.96M
19/08/2025,TSLA,335.79,340.55,327.85,329.31,75.96M
20/08/2025,TSLA,329.22,331.37,314.6,323.9,77.48M
21/08/2025,TSLA,322.08,324.9,318.68,320.11,55.74M
22/08/2025,TSLA,321.66,340.25,319.69,340.01,94.02M
25/08/2025,TSLA,338.9,349.53,335.03,346.6,86.67M
26/08/2025,TSLA,344.93,351.9,343.72,351.67,76.65M
27/08/2025,TSLA,351.94,355.39,349.16,349.6,65.52M
28/08/2025,TSLA,350.91,353.55,340.26,345.98,67.90M
29/08/2025,TSLA,347.23,348.75,331.7,333.87,81.15M
02/09/2025,TSLA,328.23,333.33,325.6,329.36,58.39M
03/09/2025,TSLA,335.2,343.33,328.51,334.09,88.73M
04/09/2025,TSLA,336.15,338.89,331.48,338.53,60.71M
05/09/2025,TSLA,348,355.87,344.68,350.84,108.99M
08/09/2025,TSLA,354.64,358.44,344.84,346.4,75.21M
09/09/2025,TSLA,348.44,350.77,343.82,346.97,53.82M
10/09/2025,TSLA,350.55,356.33,346.07,347.79,72.12M
11/09/2025,TSLA,350.17,368.99,347.6,368.81,103.76M
12/09/2025,TSLA,370.94,396.69,370.24,395.94,168.16M
